LNG,Palabra,Ingles,Espanol,Bibliographic_file_id,Pagina,<-Traducida por capturista,A.F.,Audio,Prestador,Fecha,Estructura,Lengua Original
coc,nya:-č,I,yo,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,I
coc,nyiyu-piny,eye,ojo,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,eye
coc,stu-č/m,hit,pegar,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,hit
coc,xwak,two,dos,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,two
coc,mi:sipa,cry,llorar,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,cry
coc,nya:-č Don-piny nyiyu-piny stu-č/m xwak mi:sipa,I hit Don in the eye and we both cried,Le pegué a Don en el ojo y ambos lloramos,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,ORACION,I hit Don in the eye and we both cried
coc,ʔnya:-č,I,yo,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,I
coc,lča:š-m,little,pequeño,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,little
coc,sa:m-ty,Somerton-in,Somerton-en,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,Somerton-in
coc,nyəwa:ča,we=lived,nosotros = vivimos,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,we=lived
coc,ʔnya:-č lča:š-m sa:m-ty nyəwa:ča,"when I was little, we lived in Somerton","cuando era pequeño vivíamos en Somerton ",634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,ORACION,"when I was little, we lived in Somerton"
coc,xwak,be=two,ser=dos,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,be=two
coc,nyu:p-m,fight,pelea,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,fight
coc,nyiyu-piny,eye,ojo,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,eye
coc,sutučipa,hit,golpear,634,325,no,Americanista,,Armida Enriquez Evangelista,2021-09-27,PALABRA,hit
