Index,LENGUA_Y,LENGUA_Y2,AUTOR_APELLIDO,AUTOR_NOMBRE,AUTORES2,SEXO,AÑO,MS,TITULO,DATOS_B,IDIOMA,PAIS,ACCESO,N1,N2,BASE
0,Diegueño,,Archard,Michel,,M,1990,,Lenition in Jamul Diegueño,"Proceedings of the 1990 Hokan-Penutian Languages Workshop, ed. By James Redden 11-22 (Occasional Papers in Linguistics 15). Department of Linguistics, Souther Illinois University at Caborndale.",Inglés,USA,Si,fonología,n,Langdon
1,Diegueño,,Almstedt,Rught F.,,M,1968,,Diegueño Tree: An Ecological approach to a linguisitic problem.,International Journal of American Linguistics 34.9-15,Inglés,USA,No,lexicosemántico,n,Langdon
2,Diegueño,,Almstedt,Rught F.,,M,1969,,Diegueño deer toe rattles. Ethnic Technology Notes 2.,San Diego Museum of Man,Inglés,USA,No,lexicosemántico,n,Langdon
3,n,,Almstedt,Rught F.,,M,1970,,Multiple world view in a Diegueño community,"M.A. Thesis, San Diego State College",Inglés,USA,No,n,n,Langdon
4,Diegueño,,Almstedt,Rught F.,,M,1974,,Bibliography of the Diegueño Indians,"Ramona, CA: Ballena Press.",Inglés,USA,No,documentación,n,Langdon
5,n,,Almstedt,Rught F.,,M,1977,,Diegueño curing practices,San Diego Museum Papers 10,Inglés,USA,No,n,n,Langdon
6,Diegueño,,Almstedt,Rught F.,,M,nd,ms,Diegueño kinship,n,Inglés,USA,No,lexicosemántico,n,Langdon
7,Maricopa,,Alpher,Barry,,H,nd,ms,Maricopa fieldnotes,n,Inglés,USA,No,documentación,n,Langdon
8,n,,Alvarez de Williams,Anita,,M,1983,,Cocopa,Handbook of North American Indians 10:99-112. Washington: Smithsonian Institution.,Inglés,USA,No,n,n,Langdon
9,n,,Aston,Elizabeth,,M,nd,ms,Kumeyaay Primer,n,Inglés,USA,No,n,n,Langdon
10,Yavapai,,Bahr,"Donald, M.",,H,1981,,The whole past in a Yavapai mythology,American Indian Culture and Research Journal 5.2.1-35,Inglés,USA,No,documentación,n,Langdon
11,Diegueño,,Baker,Carol,,M,1970,,Tense nonsense in Diegueño,Linguistic Notes from La Jolla 4.29-42,Inglés,USA,No,sintaxis,n,Langdon
12,Yuma,,Baker,Carol,,M,nd,ms,Yuma field notes,n,Inglés,USA,No,documentación,n,Langdon
13,Yumanas,,Baker,Carol,Jo-Ann Flora,M,1971,ms,Auxiliary verbs in yuman,n,Inglés,USA,No,sintaxis,n,Langdon
14,Diegueño,,Banegas,Lenora,"Dora Curo, Charles Magginni, Isabel Magee",M,1988,,Barona tribal dictionary,"ed. By Margaret Langdon and Arlette Poutous. Lakeside, CA: Barona Tribal Council",Inglés,USA,No,documentación,n,Langdon
15,Walapai,,Barto,Craig J.,,H,1979,ms,Spanish loan words in Walapai,n,Inglés,USA,No,documentación,n,Langdon
16,n,,Bee,Robert L.,,H,1963,,Changues in Yuman social organization,Ethnology 2.2.207-227,Inglés,USA,No,n,n,Langdon
17,n,,Bee,Robert L.,,H,1969,,Tribal leadership in the war on poverty: A case study,Social Science Quaterly 50.677-686,Inglés,USA,No,n,n,Langdon
18,n,,Bee,Robert L.,,H,1981,,Crosscurrents along the Colorado: The Impact of government polocy on the Quechan Indians. ,Tucson: University of Arizona Press,Inglés,USA,No,n,n,Langdon
19,n,,Bee,Robert L.,,H,1983,,Quechan,Handbook of North American Indians 10.86-98,Inglés,USA,No,n,n,Langdon
20,n,,Beeler,M. S.,,H,1974,,Rev. Of Diciontary of Mesa Grande Diegueño,by Ted Couro and Christina Hutcheson. Names 22.137-141.,Inglés,USA,No,n,n,Langdon
21,Hualapai,,Bender,Jorigine,Akira Y. Yamamoto,M,1992,,"Hualapai verbs of being, doing and saying: Transitivity and Auxiliaries",Anthropological Linguistics 34.293-310,Inglés,USA,No,sintaxis,n,Langdon
22,Cocopa,,Bendixen,Birgitte,,M,1978,,Aspects of rhytmical structure of Cocopa,"Proceedings of the 1978 Hokan languages workshop, ed. By James E. Redden 72-90 (Occasional Papers on Lingusitics 5). Carbondale: Souther Illinois University. [Also Appears in Occasional Papers in Linguistics 9.1-19, 1981. This seems to be an error)",Inglés,USA,Si,fonología,n,Langdon
23,Cocopa,,Bendixen,Birgitte,,M,1980,,Phonological and temporal properties in Cocopa,Unviersity of California San Diego Dissertation,Inglés,USA,No,fonología,n,Langdon
24,Hualapai,Havasupai,Berardo,Marcellino,,H,1992,,Syllable boundary demarcation in Hualapai and Havasupai,"Kansas Working Papers in Linguistics, Studies in Native American Languages VII.59-76",Inglés,USA,No,fonología,n,Langdon
25,Yumanas,,Biggs,Bruce,,H,1957,,Testing intelligibility among Yuman languages,International Journal of American Linguistics 23.57-62,Inglés,USA,No,documentación,n,Langdon
26,Yuma,,Bollenbacher,John,,H,1975,ms,/lyem/ in Kutsan [Yuma],n,Inglés,USA,No,lexicosemántico,n,Langdon
27,Yuma,,Bowers,Mark,,H,1975,ms,Indirect and directo discourse in Kwitsaan [Yuma],n,Inglés,USA,No,pragmática discursiva,n,Langdon
28,Yumanas,,William,Bright,,H,1960,,Animals of accultuarion in the California Indian languages,n,Inglés,USA,No,lexicosemántico,n,Langdon
29,Diegueño,,William,Bright,,H,1960,ms,Field notes on Diegueño dialects,n,Inglés,USA,No,documentación,n,Langdon
30,Yumanas,,William,Bright,,H,1965,,A field guide to Southern California languages.,"Annual Report, Archaeological Survey, Departament of Anthropology, University of California",Inglés,USA,No,documentación,n,Langdon
