language,word,spanish_word,author,year_of_publication,page,translated,english_word,alphabet,audio,provider,Fecha
ppi,?-yo:v,,,,1,,I make,,,,15/02/22
ppi,_xa~xa,Agua,Joel Judith,1974,1,N,Water,IPA,N,Kenia Aguilar Meza,25/02/22
ppi,ñi_sa~ñisa,Aquél,Joel Judith,1974,1,N,That one,IPA,N,Kenia Aguilar Meza,26/02/22
ppi,#NAME?,Muy,Joel Judith,1974,1,N,Very,O,N,Kenia Aguilar Meza,26/02/22
ppi,#NAME?,No,Joel Judith,1974,1,N,Not,O,N,Kenia Aguilar Meza,26/02/22
ppi,#NAME?,Con el fin de,Joel Judith,1974,1,N,in order to,IPA,N,Kenia Aguilar Meza,26/02/22
ppi,#NAME?,"Todavía, aún",Joel Judith,1974,1,N,"still, yet",IPA,N,Kenia Aguilar Meza,26/02/22
ppi,pa:yt,lo primordial,Joel Judith,1974,1,N,be all,O,N,Kenia Aguilar Meza,26/02/22
ppi,xa:v, entra,Joel Judith,1974,2,N,"it, he enters",O,N,Kenia Aguilar Meza,26/02/22
ppi,___u:,ver=pl,Joel Judith,1974,2,N,see=pl,IPA,N,Kenia Aguilar Meza,26/02/22
ppi,_am,ir=alrededor,Joel Judith,1974,2,N,go=around,IPA,N,Kenia Aguilar Meza,27/02/22
ppi,a.m,mañana,Joel Judith,1974,2,N,morning,O,N,Kenia Aguilar Meza,27/02/22
ppi,p.m,"tarde, noche",Joel Judith,1974,2,N,"afternoon, night",O,N,Kenia Aguilar Meza,27/02/22
ppi,s.o,alguien,Joel Judith,1974,2,N,someone,O,N,Kenia Aguilar Meza,27/02/22
ppi,mat_a:nk,año,Joel Judith,1974,2,N,year,IPA,N,Kenia Aguilar Meza,27/02/22
ppi,sinkwentay-syete,cincuenta y siete,Joel Judith,1974,2,N,fifty-seven,O,N,Kenia Aguilar Meza,27/02/22
ppi,yu:h_m,luego,Joel Judith,1974,2,N,then,IPA,N,Kenia Aguilar Meza,27/02/22
ppi,x_la,mes,Joel Judith,1974,2,N,month,IPA,N,Kenia Aguilar Meza,27/02/22
ppi,fevre:ro,febrero,Joel Judith,1974,2,N,february,O,N,Kenia Aguilar Meza,27/02/22
ppi,xa:v,entrar,Joel Judith,1974,2,N,enter,O,N,Kenia Aguilar Meza,27/02/22
ppi,ña:m-p_xkay,día-siete,Joel Judith,1974,2,N,day-seven,O,N,Kenia Aguilar Meza,27/02/22
ppi,ñi_sam,luego,Joel Judith,1974,2,N,then,O,N,Kenia Aguilar Meza,27/02/22
ppi,mat_in,terremoto,Joel Judith,1974,2,N,earthquake,O,N,Kenia Aguilar Meza,27/02/22
ppi,vete_xomey,muy=grande,Joel Judith,1974,2,N,very=big,O,N,Kenia Aguilar Meza,27/02/22
ppi,va:-k,venir-ss,Joel Judith,1974,2,N,come-ss,O,N,Kenia Aguilar Meza,27/02/22
ppi,t_ña:vt-oli-m,temprano-muy-ds,Joel Judith,1974,2,N,early-very-ds,O,N,Kenia Aguilar Meza,28/02/22
ppi,pa:-__pa:yt,gente-todo,Joel Judith,1974,2,N,people-all,O,N,Kenia Aguilar Meza,28/02/22
ppi,_-_ma:_,yo-dormir=pl,Joel Judith,1974,2,N,I-sleep=pl,O,N,Kenia Aguilar Meza,28/02/22
ppi,_-yo:_-_m,yo-ser=pl-ds,Joel Judith,1974,2,N,I-be=pl-ds,IPA,N,Kenia Aguilar Meza,28/02/22
ppi,mat_in,terremoto,Joel Judith,1974,2,N,earthquake,O,N,Kenia Aguilar Meza,28/02/22
ppi,va:-k,venir-ss,Joel Judith,1974,2,N,come-ss,O,N,Kenia Aguilar Meza,28/02/22
ppi,a:pa:yt-_k,nosotros=todo-ss,Joel Judith,1974,2,N,we=all-ss,O,N,Kenia Aguilar Meza,28/02/22
ppi,_nu:n-oli-_,estar=alarmado-muy-pl,Joel Judith,1974,2,N,be=alarmed-very-pl,IPA,N,Kenia Aguilar Meza,28/02/22
ppi,_-ma:n,yo-obtener=arriba,Joel Judith,1974,2,N,I-get=up,O,N,Kenia Aguilar Meza,28/02/22
ppi,kaqwar,afuera,Joel Judith,1974,2,N,outside,O,N,Kenia Aguilar Meza,28/02/22
ppi,n_t_pa_,ir=afuera=pl,Joel Judith,1974,2,N,go=out=pl,O,N,Kenia Aguilar Meza,28/02/22
ppi,mat_in-ha-Y,terremoto-el-sb,Joel Judith,1974,2,N,earthquake-the-sb,O,N,Kenia Aguilar Meza,01/03/22
ppi,ñ_-va:-k,wh-venir-ss,Joel Judith,1974,2,N,wh-come-ss,O,N,Kenia Aguilar Meza,01/03/22
ppi,wi:,rocas,Joel Judith,1974,2,N,rocks,O,N,Kenia Aguilar Meza,01/03/22
ppi,_mat,lodo,Joel Judith,1974,2,N,dirt,O,N,Kenia Aguilar Meza,01/03/22
ppi,k__am,no tiene traducción,Joel Judith,1974,2,N,no tiene traducción ,O,N,Kenia Aguilar Meza,01/03/22
ppi,_xyilk,caída,Joel Judith,1974,2,N,tumble,O,N,Kenia Aguilar Meza,01/03/22
ppi,n_kam,andaba,Joel Judith,1974,2,N,was,O,N,Kenia Aguilar Meza,01/03/22
ppi,matm_put,polvo,Joel Judith,1974,2,N,dust,O,N,Kenia Aguilar Meza,01/03/22
ppi,__v_ra:r,voló=levantar,Joel Judith,1974,2,N,flew=up,O,N,Kenia Aguilar Meza,01/03/22
ppi,matm_put,polvo,Joel Judith,1974,2,N,dust,O,N,Kenia Aguilar Meza,01/03/22
ppi,niyus,como=si,Joel Judith,1974,2,N,as=if,O,N,Kenia Aguilar Meza,01/03/22
ppi,oxway-oli-k,humo-ser-como-ss,Joel Judith,1974,2,N,smoke-be=like-ss,O,N,Kenia Aguilar Meza,01/03/22
ppi,miya:,cielo,Joel Judith,1974,2,N,sky,O,N,Kenia Aguilar Meza,01/03/22
ppi,pa:yt-_m,todo-ds,Joel Judith,1974,2,N,all-ds,IPA,N,Kenia Aguilar Meza,16/03/22
ppi,t__am,cerrar,Joel Judith,1974,2,N,shut,IPA,N,Kenia Aguilar Meza,16/03/22
ppi,v_yip-_k,estar=oscuridad-ss,Joel Judith,1974,2,N,be=dark-ss,O,N,Kenia Aguilar Meza,16/03/22
ppi,xan_,realmente,Joel Judith,1974,2,N,truly,O,N,Kenia Aguilar Meza,16/03/22
ppi,mat_in-ha-Y,terremoto-el-sb,Joel Judith,1974,2,N,earthquake-the-sb,O,N,Kenia Aguilar Meza,16/03/22
ppi,ñ_-va:-m,wh-venir-ds,Joel Judith,1974,2,N,wh-come-ds,O,N,Kenia Aguilar Meza,16/03/22
ppi,_ñe-Y,yo-sb,Joel Judith,1974,2,N,I-sb,O,N,Kenia Aguilar Meza,16/03/22
ppi,_-ma:n,yo-obtener=arriba,Joel Judith,1974,2,N,I-get=up,O,N,Kenia Aguilar Meza,16/03/22
ppi,kaqwar,afuera,Joel Judith,1974,2,N,outside,O,N,Kenia Aguilar Meza,16/03/22
ppi,_-_pa:,yo-ir=fuera,Joel Judith,1974,2,N,I-go=out,IPA,N,Kenia Aguilar Meza,16/03/22
